n,film,name,gender,degree,weighted degree,norm. weighted degree,closeness centrality,betweenness centrality,weighted degree position,closeness centrality position,betweenness centrality position
1,Dr. No,Moneypenny,f,2,5,0.033,0.349,0.00,26,40,43
2,From Russia with Love,Moneypenny,f,4,12,0.090,0.412,0.000564971751412429,10,27,14
3,GoldFinger,Moneypenny,f,2,4,0.036,0.411,0.00,26,23,28
4,Thunderball,Moneypenny,f,4,8,0.066,0.42,0.000448933782267115,24,28,21
5,You Only Live Twice,Moneypenny,f,2,5,0.0392,0.413,0.00,21,39,42
6,On Her Majesty's Secret Service,Moneypenny,f,3,12,0.063,0.505,0.00,33,29,34
7,Diamonds Are Forever,Moneypenny,f,1,1,0.00,0.404,0.00,61,40,47
8,Live and Let Die,Moneypenny,f,3,5,0.048,0.4536,0.002,19,22,17
9,The Man with the Golden Gun,Moneypenny,f,2,3,0.017,0.453,0.00,30,31,32
10,The Spy Who Loved Me,Moneypenny,f,2,2,0.008,0.430,0.00,35,28,31
11,Moonraker,Moneypenny,f,3,4,0.034,0.460,0.00,17,22,20
12,For Your Eyes Only,Moneypenny,f,5,5,0.038,0.495,0.00,22,17,24
13,Octopussy,Moneypenny,f,3,3,0.021,0.342,0.000241218151665912,26,62,26
14,A view to kill,Moneypenny,f,4,10,0.065,0.466,0,15,29,29
15,The Living Daylights,Moneypenny,f,3,6,0.047,0.453,0.00,18,15,24
16,License to Kill,Moneypenny,f,2,2,0.006,0.335,0.00,52,65,65
17,Golden Eye,Moneypenny,f,3,4,0.038,0.435,0.00,14,16,16
18,Tomorrow Never Dies,Moneypenny,f,4,9,0.071,0.416,0.00,16,21,29
19,The World Is Not Enough,Moneypenny,f,7,17,0.119,0.50,0.002,10,16,13
20,Die Another Day,Moneypenny,f,3,3,0.020,0.348,0.000322061191626409,27,43,25
23,Skyfall,Moneypenny,f,13,45,0.500,0.610,0.077,4,3,5
24,Spectre,Moneypenny,f,8,24,0.277,0.516,0.043,6,10,6
25,No Time to Die,Moneypenny,f,5,46,0.237,0.50,0.00,7,14,19