Id,Label,timeset,gender,degree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,componentnumber,clustering,triangles,eigencentrality
Aki,Aki,,f,8,25,5,0.440299,0.516384,9.25,6,0,0.464286,13,0.325533
Henderson,Henderson,,m,5,5,5,0.430657,0.49096,2.75,6,0,0.7,7,0.257651
Blofeld,Blofeld,,m,10,21,5,0.464567,0.546045,157.390476,3,0,0.333333,15,0.357815
Blofeld's people,Blofeld's people,,n,6,6,5,0.44697,0.509322,19.721429,6,0,0.6,9,0.293987
Brandt,Brandt,,m,7,19,5,0.443609,0.512147,28.185714,3,0,0.571429,12,0.290137
killers 2,killers 2,,n,3,3,5,0.421429,0.469774,0.833333,6,0,0.666667,2,0.188797
Tanaka,Tanaka,,m,14,39,5,0.475806,0.577119,165.252381,6,0,0.230769,21,0.454188
japanese girl,japanese girl,,f,5,10,5,0.430657,0.49096,0.25,6,0,0.9,9,0.264989
M,M,,m,5,7,5,0.430657,0.49096,5,6,0,0.5,5,0.233798
Q,Q,,m,4,6,5,0.427536,0.482486,0.333333,6,0,0.833333,5,0.235039
Osato,Osato,,m,7,18,5,0.443609,0.512147,25.685714,3,0,0.619048,13,0.289904
Osato's secretary,Osato's secretary,,f,3,3,5,0.421429,0.469774,0,3,0,1,3,0.186228
Sandanaiama,Sandanaiama,,m,3,3,5,0.415493,0.465537,0.5,7,0,0.666667,2,0.149979
bald japanese man,bald japanese man,,m,2,2,5,0.412587,0.457062,0,7,0,1,1,0.135465
Tanaka's people,Tanaka's people,,n,3,7,6,0.335227,0.387571,0,6,0,1,3,0.119222
driver 1,driver 1,,m,2,2,5,0.412587,0.457062,0,6,0,1,1,0.13683
killer,killer,,m,3,3,5,0.415493,0.465537,0.5,6,0,0.666667,2,0.163613
James Bond,James Bond,,m,42,103,4,0.686047,0.833333,1400.592857,6,0,0.065041,56,1
killer 3,killer 3,,m,2,2,5,0.412587,0.457062,0,6,0,1,1,0.154936
Kissy,Kissy,,f,7,17,5,0.437037,0.50791,21.7,6,0,0.428571,9,0.276752
Hanz,Hanz,,m,2,3,5,0.42446,0.466949,0,3,0,1,1,0.159346
Maike,Maike,,m,7,14,4,0.479675,0.526836,408,4,0,0.428571,9,0.214479
Osato's men,Osato's men,,n,3,5,5,0.421429,0.469774,0,3,0,1,3,0.185087
chinese man 1,chinese man 1,,m,3,4,5,0.415493,0.465537,0,0,0,1,3,0.154561
chinese man 2,chinese man 2,,m,3,4,5,0.415493,0.465537,0,0,0,1,3,0.154561
diver 1,diver 1,,m,2,2,5,0.412587,0.457062,0,1,0,1,1,0.133454
diver 2,diver 2,,m,2,2,5,0.412587,0.457062,0,1,0,1,1,0.133454
guard 1,guard 1,,m,2,2,5,0.412587,0.457062,0,2,0,1,1,0.133454
guard 2,guard 2,,m,2,2,5,0.412587,0.457062,0,2,0,1,1,0.133454
guards,guards,,n,4,4,4,0.450382,0.492938,0,4,0,1,6,0.195784
soviet astronaut 1,soviet astronaut 1,,m,6,12,4,0.457364,0.509887,56,4,0,0.6,9,0.210759
soviet astronaut 2,soviet astronaut 2,,m,6,12,4,0.457364,0.509887,56,4,0,0.6,9,0.210759
three japanese girls,three japanese girls,,f,4,5,5,0.427536,0.482486,0,6,0,1,6,0.238206
waiter,waiter,,m,2,2,5,0.421429,0.465537,0,6,0,1,1,0.170128
Ling,Ling,,f,3,3,5,0.415493,0.465537,0,0,0,1,3,0.154561
Osato's assistant,Osato's assistant,,m,7,10,5,0.44697,0.514972,26.554762,3,0,0.619048,13,0.301069
Blofeld's astonaut,Blofeld's astonaut,,m,1,1,7,0.251064,0.279459,0,3,0,0,0,0.01815
Osato's guard,Osato's guard,,m,5,8,6,0.333333,0.394633,58,3,0,0.6,6,0.1481
Blofeld's financier 1,Blofeld's financier 1,,m,2,4,6,0.320652,0.35791,0,3,0,1,1,0.048952
Blofeld's financier 2,Blofeld's financier 2,,m,2,4,6,0.320652,0.35791,0,3,0,1,1,0.048952
Cris,Cris,,m,3,5,5,0.33908,0.370621,0,4,0,1,3,0.041771
dispatcher 1,dispatcher 1,,m,3,5,5,0.33908,0.370621,0,4,0,1,3,0.041771
dispatcher 2,dispatcher 2,,m,4,7,5,0.349112,0.390395,270,4,0,0.5,3,0.046839
Houston dispatcher,Houston dispatcher,,m,1,1,7,0.212996,0.239709,0,5,0,0,0,0.006158
president's Aide,president's Aide,,m,5,7,6,0.269406,0.325424,223,5,0,0.3,3,0.02368
Kissy's friend 1,Kissy's friend 1,,f,3,3,5,0.41844,0.468362,0,6,0,1,3,0.169982
Kissy's friend 2,Kissy's friend 2,,f,3,3,5,0.41844,0.468362,0,6,0,1,3,0.169982
Kissy's friend 3,Kissy's friend 3,,f,2,2,5,0.415493,0.459887,0,6,0,1,1,0.149817
Moneypenny,Moneypenny,,f,2,5,5,0.412587,0.457062,0,6,0,1,1,0.144747
capitan,capitan,,m,3,3,5,0.415493,0.465537,0.5,6,0,0.666667,2,0.161146
killer 4,killer 4,,m,1,1,5,0.409722,0.448588,0,6,0,0,0,0.117386
lieutenant,lieutenant,,m,2,2,5,0.412587,0.457062,0,6,0,1,1,0.136609
sumo wrestler 1,sumo wrestler 1,,m,2,2,5,0.412587,0.457062,0,7,0,1,1,0.135465
Tanaka's man 1,Tanaka's man 1,,m,1,1,6,0.324176,0.359322,0,6,0,0,0,0.052742
Tanaka's man 2,Tanaka's man 2,,m,1,1,6,0.324176,0.359322,0,6,0,0,0,0.052742
UK diplomant,UK diplomant,,m,2,2,1,1,1,0,8,1,1,1,0.005328
USA diplomant,USA diplomant,,m,2,2,1,1,1,0,8,1,1,1,0.005328
USSR diplomant,USSR diplomant,,m,2,2,1,1,1,0,8,1,1,1,0.005328
american astronaut 1,american astronaut 1,,m,1,1,1,1,1,0,9,2,0,0,0.001772
american dispatcher,american dispatcher,,m,1,1,1,1,1,0,9,2,0,0,0.001772
millitary chief,millitary chief,,m,3,4,7,0.214545,0.256659,0,5,0,1,3,0.014956
politican,politican,,m,3,3,7,0.214545,0.256659,0,5,0,1,3,0.014956
secretary of Defense,secretary of Defense,,m,3,3,7,0.214545,0.256659,0,5,0,1,3,0.014956
policeman 1,policeman 1,,m,1,1,1,1,1,0,10,3,0,0,0.001772
policeman 2,policeman 2,,m,1,1,1,1,1,0,10,3,0,0,0.001772
soviet dispatcher 1,soviet dispatcher 1,,m,3,3,5,0.318919,0.35452,0,4,0,1,3,0.060291
soviet dispatcher 2,soviet dispatcher 2,,,3,3,5,0.318919,0.35452,0,4,0,1,3,0.060291
